BlockId,Predicted_Label,Features,TimeInterval,Latency
blk_3275292743898793263,Fail,"['E22', 'E5']",[0.0],0
blk_1218582069484387615,Fail,"['E22', 'E5']",[0.0],0
blk_1726633583079685651,Fail,"['E22', 'E5', 'E5', 'E7']","[0.0, 0.0, 3.0]",3
blk_8197947359884151737,Fail,"['E22', 'E5', 'E5', 'E5', 'E26', 'E26', 'E26', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E3', 'E4', 'E3', 'E3', 'E4', 'E3', 'E3', 'E3', 'E4', 'E23', 'E23', 'E23', 'E21', 'E21', 'E20', 'E21']","[0.0, 0.0, 0.0, 109.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10222.0, 126.0, 90.0, 9118.0, 6.0, 19.0, 4080.0, 8.0, 9.0, 7695.0, 0.0, 0.0, 68.0, 64.0, 278.0, 498.0]",32390
blk_-5039149229458566782,Fail,"['E22', 'E5', 'E5', 'E5', 'E26', 'E26', 'E26', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E23', 'E23', 'E23', 'E21', 'E21', 'E28', 'E26', 'E21']","[0.0, 0.0, 0.0, 25.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 37259.0, 0.0, 0.0, 229.0, 13.0, 659.0, 0.0, 150.0]",38335
blk_-6680054068554267213,Fail,"['E5', 'E5', 'E5', 'E22', 'E14', 'E7', 'E8', 'E11', 'E7', 'E11', 'E10', 'E14', 'E7']","[0.0, 0.0, 0.0, 60.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 408.0, 0.0]",468
blk_3190341781886752703,Fail,"['E5', 'E5', 'E5', 'E22', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E26', 'E26', 'E26', 'E25', 'E18', 'E5', 'E16', 'E6', 'E26', 'E26', 'E21', 'E23', 'E23', 'E23', 'E23', 'E21', 'E20', 'E21', 'E21']","[0.0, 0.0, 0.0, 32.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6052.0, 62.0, 0.0, 43.0, 0.0, 0.0, 1040.0, 17.0, 1953.0, 0.0, 0.0, 0.0, 156.0, 4.0, 9.0, 57.0]",9425
blk_6078700122233994466,Fail,"['E5', 'E22', 'E5', 'E5', 'E13', 'E11', 'E9', 'E13', 'E11', 'E9', 'E13', 'E11', 'E9', 'E26', 'E26', 'E26', 'E23', 'E23', 'E23', 'E21', 'E21', 'E21']","[0.0, 3.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4415.0, 0.0, 0.0, 253.0, 13.0, 44.0]",4730
blk_7811126218341652744,Fail,"['E22', 'E5', 'E5', 'E5', 'E11', 'E9', 'E11', 'E9', 'E26', 'E26', 'E26', 'E11', 'E9', 'E3', 'E3', 'E4', 'E18', 'E25', 'E5', 'E6', 'E16', 'E26', 'E26', 'E21', 'E25', 'E5', 'E18', 'E16', 'E6', 'E26', 'E26', 'E21', 'E23', 'E23', 'E23', 'E21', 'E21', 'E21']","[1.0, 0.0, 0.0, 64.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 27218.0, 270.0, 47.0, 3617.0, 0.0, 1.0, 46.0, 0.0, 0.0, 584.0, 17.0, 3255.0, 23.0, 0.0, 41.0, 0.0, 1.0, 394.0, 14.0, 14584.0, 0.0, 0.0, 153.0, 4.0, 93.0]",50427
blk_-1726347118970466753,Fail,"['E5', 'E5', 'E22', 'E7']","[0.0, 0.0, 4.0]",4
blk_-7485925851201694531,Fail,"['E5', 'E5', 'E5', 'E22', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E26', 'E26', 'E26', 'E25', 'E18', 'E5', 'E16', 'E6', 'E26', 'E26', 'E21', 'E23', 'E23', 'E23', 'E23', 'E20', 'E21', 'E21', 'E21']","[0.0, 0.0, 0.0, 31.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4934.0, 2.0, 0.0, 12.0, 0.0, 0.0, 1134.0, 4.0, 1969.0, 0.0, 0.0, 0.0, 80.0, 1.0, 17.0, 15.0]",8199
blk_1527112331967317846,Fail,"['E22', 'E5', 'E5', 'E7']","[0.0, 0.0, 3.0]",3
blk_132633656123110022,Fail,"['E5', 'E22', 'E5', 'E5', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E26', 'E26', 'E26', 'E4', 'E4', 'E3', 'E23', 'E23', 'E23', 'E21', 'E21', 'E28', 'E26', 'E21']","[0.0, 1.0, 0.0, 40.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4670.0, 33.0, 14.0, 42655.0, 0.0, 0.0, 316.0, 19.0, 579.0, 0.0, 320.0]",48647
blk_-6457532082394114817,Fail,"['E5', 'E22']",[0.0],0
blk_6879845529450407288,Fail,"['E22', 'E5']",[1.0],1
blk_8001953952547546280,Fail,"['E5', 'E22', 'E5', 'E5', 'E11', 'E9', 'E11', 'E9', 'E26', 'E26', 'E26', 'E11', 'E9', 'E23', 'E23', 'E23', 'E21', 'E20', 'E21', 'E21']","[0.0, 1.0, 0.0, 34.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 5148.0, 0.0, 0.0, 91.0, 183.0, 43.0, 3.0]",5504
blk_1417543216500514654,Fail,"['E22', 'E5']",[1.0],1
blk_-6572930889846498614,Fail,"['E5', 'E5', 'E22', 'E5', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E26', 'E26', 'E26', 'E25', 'E18', 'E29', 'E25', 'E18', 'E5', 'E16', 'E6', 'E26', 'E26', 'E21', 'E23', 'E23', 'E23', 'E23', 'E21', 'E20', 'E21', 'E21']","[0.0, 0.0, 1.0, 35.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7793.0, 1.0, 597.0, 4.0, 3.0, 1.0, 11.0, 0.0, 0.0, 531.0, 15.0, 1941.0, 0.0, 0.0, 0.0, 99.0, 10.0, 35.0, 3.0]",11080
blk_5073858743108971792,Fail,"['E22', 'E5']",[0.0],0
blk_-5474560168151062966,Fail,"['E5', 'E22', 'E5', 'E7']","[0.0, 1.0, 3.0]",4
blk_-3867254425876305564,Fail,"['E5', 'E5', 'E22', 'E7']","[0.0, 0.0, 4.0]",4
blk_-3859249462158182692,Fail,"['E5', 'E22']",[0.0],0
blk_7191038126559530946,Fail,"['E5', 'E5', 'E22', 'E5', 'E11', 'E9', 'E11', 'E9', 'E26', 'E26', 'E26', 'E11', 'E9', 'E3', 'E3', 'E4', 'E25', 'E5', 'E18', 'E16', 'E6', 'E26', 'E26', 'E21', 'E25', 'E5', 'E18', 'E6', 'E16', 'E26', 'E26', 'E21', 'E3', 'E4', 'E3', 'E23', 'E23', 'E23', 'E21', 'E21', 'E21']","[0.0, 0.0, 0.0, 85.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23994.0, 399.0, 15.0, 7899.0, 24.0, 0.0, 13.0, 0.0, 0.0, 351.0, 8.0, 3531.0, 32.0, 0.0, 27.0, 0.0, 0.0, 235.0, 15.0, 12386.0, 316.0, 45.0, 1968.0, 0.0, 0.0, 154.0, 4.0, 93.0]",51594
blk_-9221523313462138888,Fail,"['E22', 'E5', 'E5', 'E5', 'E26', 'E26', 'E26', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E3', 'E3', 'E4', 'E3', 'E3', 'E4', 'E3', 'E3', 'E4', 'E23', 'E23', 'E23', 'E21', 'E21', 'E28', 'E26', 'E21']","[0.0, 0.0, 0.0, 40.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14085.0, 9.0, 139.0, 5371.0, 23.0, 4.0, 4065.0, 5.0, 20.0, 7183.0, 0.0, 0.0, 3.0, 103.0, 834.0, 0.0, 35.0]",31919
blk_648451759432563893,Fail,"['E5', 'E5', 'E5', 'E22', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E26', 'E26', 'E26', 'E4', 'E4', 'E3', 'E2', 'E23', 'E23', 'E23', 'E21', 'E21', 'E28', 'E26', 'E21']","[0.0, 0.0, 0.0, 23.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 3878.0, 47.0, 45.0, 28197.0, 15389.0, 0.0, 0.0, 307.0, 5.0, 607.0, 0.0, 340.0]",48840
blk_-2443713814077104406,Fail,"['E5', 'E5', 'E22', 'E5', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E26', 'E26', 'E26', 'E27', 'E23', 'E23', 'E23', 'E21', 'E21', 'E21']","[0.0, 0.0, 1.0, 32.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 805.0, 0.0, 0.0, 112.0, 20.0, 3.0]",974
blk_4271719541782679403,Fail,"['E22', 'E5', 'E5', 'E7']","[1.0, 0.0, 2.0]",3
blk_3263174634108267776,Fail,"['E22', 'E5', 'E5', 'E5', 'E26', 'E26', 'E26', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E23', 'E23', 'E23', 'E21', 'E21', 'E28', 'E26', 'E21']","[0.0, 0.0, 0.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 38349.0, 0.0, 0.0, 317.0, 101.0, 479.0, 0.0, 432.0]",39728
blk_6743674264759015540,Fail,"['E22', 'E5', 'E5', 'E7']","[0.0, 0.0, 2.0]",2
blk_-7780804990139624468,Fail,"['E5', 'E5', 'E22', 'E7']","[0.0, 0.0, 6.0]",6
blk_3189742160502960892,Fail,"['E22', 'E5']",[0.0],0
blk_-2735341629696458687,Fail,"['E5', 'E5', 'E22', 'E5', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E26', 'E26', 'E26', 'E25', 'E18', 'E5', 'E16', 'E6', 'E26', 'E26', 'E21', 'E23', 'E23', 'E23', 'E23', 'E20', 'E21', 'E21', 'E21']","[0.0, 0.0, 1.0, 39.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7245.0, 4.0, 0.0, 32.0, 0.0, 0.0, 1112.0, 5.0, 1954.0, 0.0, 0.0, 0.0, 100.0, 38.0, 17.0, 12.0]",10559
blk_8800871400485157924,Fail,"['E5', 'E22']",[0.0],0
blk_3230416063986056637,Fail,"['E5', 'E5', 'E22', 'E5', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E26', 'E26', 'E26', 'E25', 'E18', 'E5', 'E16', 'E6', 'E26', 'E26', 'E21', 'E23', 'E23', 'E23', 'E23', 'E21', 'E21', 'E20', 'E21']","[0.0, 0.0, 1.0, 54.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5389.0, 41.0, 1.0, 27.0, 0.0, 0.0, 1076.0, 20.0, 1953.0, 0.0, 0.0, 0.0, 139.0, 19.0, 13.0, 52.0]",8785
blk_5932789222600878224,Fail,"['E5', 'E22']",[0.0],0
blk_-7425322081110270943,Fail,"['E5', 'E22', 'E5', 'E5', 'E11', 'E9', 'E11', 'E9', 'E26', 'E26', 'E26', 'E11', 'E9', 'E3', 'E3', 'E4', 'E2', 'E25', 'E18', 'E5', 'E6', 'E16', 'E26', 'E26', 'E21', 'E25', 'E18', 'E5', 'E6', 'E16', 'E26', 'E26', 'E21', 'E3', 'E3', 'E4', 'E23', 'E23', 'E23', 'E21', 'E21', 'E21']","[0.0, 1.0, 0.0, 48.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17025.0, 305.0, 164.0, 8356.0, 8693.0, 1.0, 1.0, 26.0, 0.0, 0.0, 363.0, 3.0, 3509.0, 2.0, 1.0, 28.0, 0.0, 0.0, 290.0, 8.0, 3410.0, 196.0, 156.0, 10941.0, 0.0, 0.0, 66.0, 46.0, 19.0]",53658
blk_4842380628851264174,Fail,"['E5', 'E22', 'E5', 'E5', 'E11', 'E9', 'E11', 'E9', 'E26', 'E26', 'E26', 'E11', 'E9', 'E3', 'E4', 'E3', 'E25', 'E18', 'E5', 'E16', 'E6', 'E26', 'E26', 'E21', 'E25', 'E5', 'E18', 'E16', 'E6', 'E26', 'E26', 'E21', 'E3', 'E4', 'E3', 'E23', 'E23', 'E23', 'E21', 'E21', 'E21']","[0.0, 1.0, 0.0, 104.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 22459.0, 155.0, 27.0, 9876.0, 28.0, 1.0, 32.0, 0.0, 0.0, 309.0, 8.0, 3507.0, 32.0, 0.0, 32.0, 0.0, 0.0, 254.0, 7.0, 10718.0, 169.0, 1.0, 3831.0, 0.0, 0.0, 147.0, 12.0, 47.0]",51757
blk_8330015014693468824,Fail,"['E5', 'E5', 'E5', 'E22', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E26', 'E26', 'E26', 'E23', 'E23', 'E23', 'E21', 'E21', 'E21', 'E20']","[0.0, 0.0, 0.0, 40.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2914.0, 0.0, 0.0, 46.0, 132.0, 10.0, 68.0]",3210
blk_2696831547332047711,Fail,"['E22', 'E5', 'E5', 'E5', 'E26', 'E26', 'E26', 'E9', 'E11', 'E9', 'E11', 'E9', 'E11', 'E2', 'E3', 'E3', 'E4', 'E3', 'E4', 'E3', 'E3', 'E3', 'E4', 'E23', 'E23', 'E23', 'E21', 'E21', 'E28', 'E26', 'E21']","[0.0, 0.0, 0.0, 56.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 12164.0, 283.0, 91.0, 74.0, 7217.0, 6.0, 12.0, 4076.0, 5.0, 12.0, 7433.0, 0.0, 0.0, 326.0, 77.0, 541.0, 0.0, 418.0]",32792
blk_-7688336917055107090,Fail,"['E5', 'E5', 'E22', 'E5', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E26', 'E26', 'E26', 'E27', 'E23', 'E23', 'E23', 'E21', 'E21', 'E21']","[0.0, 0.0, 1.0, 65.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 6570.0, 0.0, 0.0, 150.0, 1.0, 58.0]",6848
blk_7647458932686347208,Fail,"['E5', 'E5', 'E5', 'E22', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E26', 'E26', 'E26', 'E23', 'E23', 'E23', 'E21', 'E21', 'E20', 'E21']","[0.0, 0.0, 0.0, 41.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 22233.0, 0.0, 0.0, 94.0, 192.0, 18.0, 17.0]",22595
blk_8144189717296124205,Fail,"['E5', 'E5', 'E5', 'E22', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E26', 'E26', 'E26', 'E4', 'E3', 'E4', 'E23', 'E23', 'E23', 'E21', 'E21', 'E20', 'E21']","[0.0, 0.0, 0.0, 44.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4565.0, 18.0, 107.0, 42568.0, 0.0, 0.0, 235.0, 128.0, 98.0, 8.0]",47771
blk_5175324465367084320,Fail,"['E22', 'E5']",[0.0],0
blk_-7654398471919781887,Fail,"['E22', 'E5', 'E5', 'E5', 'E26', 'E26', 'E26', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E4', 'E4', 'E3', 'E2', 'E23', 'E23', 'E23', 'E21', 'E21', 'E28', 'E26', 'E21']","[0.0, 0.0, 0.0, 86.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3357.0, 16.0, 27.0, 15922.0, 29927.0, 0.0, 0.0, 191.0, 80.0, 661.0, 0.0, 69.0]",50336
blk_-9000431450627588802,Fail,"['E5', 'E22']",[0.0],0
blk_5168876757382645337,Fail,"['E22', 'E5']",[1.0],1
blk_9132395381875564429,Fail,"['E5', 'E5', 'E5', 'E22', 'E26', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E26', 'E26', 'E23', 'E23', 'E23', 'E21', 'E20', 'E21', 'E21']","[0.0, 0.0, 0.0, 25.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5821.0, 0.0, 0.0, 24.0, 131.0, 26.0, 23.0]",6051
blk_8404873041753801240,Fail,"['E5', 'E5', 'E22', 'E5', 'E11', 'E9', 'E26', 'E11', 'E9', 'E11', 'E9', 'E25', 'E26', 'E26', 'E5', 'E18', 'E6', 'E16', 'E26', 'E21', 'E23', 'E23', 'E23', 'E21', 'E21', 'E21']","[0.0, 0.0, 3.0, 13.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 5.0, 0.0, 0.0, 1.0, 20367.0, 0.0, 0.0, 248.0, 49.0, 11.0]",20701
blk_7965749993464375016,Fail,"['E5', 'E5', 'E5', 'E22', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E26', 'E26', 'E26', 'E23', 'E23', 'E23', 'E21', 'E20', 'E21', 'E21']","[0.0, 0.0, 0.0, 38.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5015.0, 0.0, 0.0, 14.0, 133.0, 21.0, 36.0]",5257
blk_8493254572816124914,Fail,"['E5', 'E5', 'E22', 'E5', 'E11', 'E9', 'E11', 'E9', 'E26', 'E26', 'E26', 'E11', 'E9', 'E23', 'E23', 'E23', 'E21', 'E20', 'E21', 'E21']","[0.0, 0.0, 0.0, 42.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21047.0, 0.0, 0.0, 76.0, 205.0, 73.0, 726.0]",22169
blk_-6769966996302837282,Fail,"['E5', 'E5', 'E5', 'E22', 'E11', 'E9', 'E11', 'E9', 'E26', 'E26', 'E11', 'E9', 'E26', 'E25', 'E18', 'E5', 'E6', 'E16', 'E26', 'E26', 'E21', 'E23', 'E23', 'E23', 'E21', 'E21', 'E21']","[0.0, 0.0, 0.0, 72.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 7738.0, 3.0, 3.0, 16.0, 0.0, 0.0, 1126.0, 15.0, 1941.0, 0.0, 0.0, 123.0, 19.0, 3.0]",11060
blk_-1757013032913467072,Fail,"['E5', 'E5', 'E5', 'E22', 'E13', 'E11', 'E9', 'E13', 'E11', 'E9', 'E13', 'E11', 'E9', 'E26', 'E26', 'E26', 'E23', 'E23', 'E23', 'E21', 'E21', 'E21']","[0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6700.0, 0.0, 0.0, 220.0, 3.0, 40.0]",6965
blk_-4634439818408631748,Fail,"['E22', 'E5', 'E5', 'E7']","[0.0, 0.0, 2.0]",2
blk_-7385230733907457822,Fail,"['E5', 'E5', 'E5', 'E22', 'E11', 'E9', 'E11', 'E9', 'E26', 'E26', 'E11', 'E9', 'E26', 'E4', 'E3', 'E4', 'E23', 'E23', 'E23', 'E21', 'E21', 'E28', 'E26', 'E21']","[0.0, 0.0, 0.0, 29.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 4332.0, 23.0, 45.0, 43633.0, 0.0, 0.0, 137.0, 18.0, 763.0, 0.0, 74.0]",49055
blk_3662508997161823178,Fail,"['E22', 'E5', 'E5', 'E5', 'E26', 'E26', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E26', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E23', 'E23', 'E23', 'E21', 'E21', 'E28', 'E26', 'E21']","[1.0, 0.0, 0.0, 31.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 33.0, 5965.0, 40.0, 15396.0, 15.0, 4083.0, 11.0, 4245.0, 23.0, 4242.0, 0.0, 0.0, 375.0, 3.0, 582.0, 0.0, 446.0]",35491
blk_1228359052249330977,Fail,"['E5', 'E22', 'E5', 'E7']","[0.0, 1.0, 2.0]",3
blk_8519785750584089331,Fail,"['E5', 'E5', 'E5', 'E22', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E26', 'E26', 'E27', 'E26', 'E23', 'E23', 'E23', 'E21', 'E21', 'E21']","[0.0, 0.0, 0.0, 25.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.0, 0.0, 20724.0, 0.0, 0.0, 279.0, 40.0, 268.0]",21349
blk_-5474312956399193928,Fail,"['E22', 'E5', 'E5', 'E5', 'E11', 'E9', 'E11', 'E9', 'E26', 'E26', 'E26', 'E11', 'E9', 'E2', 'E3', 'E3', 'E4', 'E25', 'E18', 'E5', 'E16', 'E6', 'E26', 'E26', 'E21', 'E25', 'E5', 'E18', 'E16', 'E6', 'E26', 'E26', 'E21', 'E3', 'E4', 'E3', 'E23', 'E23', 'E23', 'E21', 'E21', 'E21']","[0.0, 1.0, 2.0, 34.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11435.0, 6961.0, 118.0, 84.0, 14843.0, 1.0, 1.0, 53.0, 0.0, 0.0, 579.0, 7.0, 3262.0, 2.0, 0.0, 34.0, 0.0, 1.0, 425.0, 2.0, 5587.0, 6.0, 46.0, 8934.0, 0.0, 0.0, 87.0, 22.0, 40.0]",52567
blk_8707506678041249004,Fail,"['E5', 'E5', 'E5', 'E22', 'E11', 'E9', 'E26', 'E11', 'E9', 'E11', 'E9', 'E26', 'E26', 'E23', 'E23', 'E23', 'E21', 'E21', 'E20', 'E21']","[0.0, 0.0, 0.0, 61.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 22015.0, 0.0, 0.0, 62.0, 175.0, 19.0, 34.0]",22367
blk_8958334536367616955,Fail,"['E22', 'E5', 'E5', 'E7']","[0.0, 1.0, 2.0]",3
blk_-4891625177110054544,Fail,"['E22', 'E5', 'E5', 'E7']","[0.0, 1.0, 3.0]",4
blk_-547228339906672891,Fail,"['E5', 'E22']",[0.0],0
blk_7473797116333788596,Fail,"['E22', 'E5']",[0.0],0
blk_-5745831546301960321,Fail,"['E5', 'E5', 'E5', 'E22', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E26', 'E26', 'E26', 'E27', 'E23', 'E23', 'E23', 'E21', 'E21', 'E21']","[0.0, 0.0, 0.0, 15.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 23399.0, 0.0, 0.0, 157.0, 37.0, 15.0]",23624
